Bike Station Latitude,Bike Station Longitude,Yelp Name,Distance,Review count,Rating,Price
59.9080552,10.7479977,Einer,257.81646210408223,5,5.0,
59.9080552,10.7479977,Statholderens Mat & Vinkjeller,303.6336979806149,7,4.9,$$$$
59.9080552,10.7479977,Benares Indisk Restaurant and Bar,818.2683311646074,5,4.8,$$
59.9080552,10.7479977,Statholdergaarden og Statholderens Mat og Vinkjeller,294.2496731993505,19,4.7,$$$$
59.9080552,10.7479977,Girotondo,794.542512240407,7,4.7,
59.9080552,10.7479977,Torggata Botaniske,926.1958967736346,34,4.7,$$
59.9080552,10.7479977,Hereford Steakhouse,921.9147654874215,6,4.7,$$
59.9080552,10.7479977,Nordvegan,1013.5932193008974,24,4.7,$
59.9080552,10.7479977,The Whisky Bar,444.3997660444537,22,4.6,$$
59.9080552,10.7479977,Gunnars Generasjonsbar,797.9413564278574,16,4.6,$$
59.9080552,10.7479977,Sushi of Life,1142.499153531591,5,4.6,
59.9080552,10.7479977,Skyggesiden Bar,505.7405219486566,5,4.6,$$
59.9080552,10.7479977,Wok & Go Rådhusplassen,857.3740820877808,7,4.6,$$$
59.9080552,10.7479977,Katla,1076.8984672039176,7,4.6,
59.9080552,10.7479977,Cielito Taquería,333.57382541012714,9,4.6,
59.9080552,10.7479977,Himkok,716.7970562687647,74,4.6,$$
59.9080552,10.7479977,Bristol Bar,898.8713973828216,10,4.5,$$
59.9080552,10.7479977,Sushirull,483.7930147643046,3,5.0,$
59.9080552,10.7479977,MG10 Mad Goat Tap Room,913.5132463135328,4,4.8,
59.9080552,10.7479977,Pier 42,300.7663635529429,3,5.0,
59.9080552,10.7479977,Espresso House,556.6779780499094,4,4.8,
59.9080552,10.7479977,Henry and Sally's,964.2091402425928,3,5.0,
59.9080552,10.7479977,Pink Fish Grensen,758.5503426387802,3,5.0,
59.9080552,10.7479977,Mesh Café,864.1725155885233,42,4.5,$
59.9080552,10.7479977,Mehfel,346.90920489611784,15,4.5,
59.9080552,10.7479977,Palmen,792.0558371018823,13,4.5,$$$
59.9080552,10.7479977,Gaasa,935.3679894628041,11,4.5,$$
59.9080552,10.7479977,Stock,564.7896512939069,17,4.4,
59.9080552,10.7479977,Sushi City Wok,343.5207253310683,5,4.4,$
59.9080552,10.7479977,Arakataka,936.765574388234,45,4.4,$$$
59.9080552,10.7479977,Kvadrat Salat,448.17375028174297,15,4.4,$
59.9080552,10.7479977,Tørst SoulFood,604.5544833710674,5,4.4,$
59.9080552,10.7479977,Brasserie Paleo,951.7719299421062,20,4.4,$$$
59.9080552,10.7479977,The Room,905.0424893057142,5,4.4,
59.9080552,10.7479977,Perestrojka,619.6532942306194,8,4.4,$$
59.9080552,10.7479977,GazaKjøkken,712.8237942059081,8,4.4,$
59.9080552,10.7479977,Borggården Biffrestaurant,949.1924767464764,8,4.4,$$$
59.9080552,10.7479977,Stockfleths Lille Grensen,731.0342576432523,14,4.4,$
59.9080552,10.7479977,Elias Mat & Sånt,1053.9892279557846,71,4.4,$$
59.9080552,10.7479977,Mamma Pizza Osteria,313.49418637096,89,4.3,$$
59.9080552,10.7479977,Robinet,940.3900304119037,9,4.3,$$
59.9080552,10.7479977,The Mini Bottle Gallery,313.7502266338489,6,4.3,$$$
59.9080552,10.7479977,Saba Restaurant,885.6270038165742,6,4.3,$$
59.9080552,10.7479977,My Ugly Baby,779.8706514542823,18,4.3,
59.9080552,10.7479977,Rent Mel Bakeri og Pizzeria,298.72983100896545,44,4.3,$
59.9080552,10.7479977,Gamle Raadhus Restaurant,481.10022536285663,13,4.3,$$
59.9080552,10.7479977,Espresso House,1060.041946839104,39,4.3,$$
59.9080552,10.7479977,W.B. Samson - Egertorget,641.6411739127379,33,4.3,$$
59.9080552,10.7479977,Brasserie France,634.2575850960435,17,4.3,$$$
59.9080552,10.7479977,Sentralen,553.1955691343801,31,4.3,$$
59.91372007130073,10.735886645853412,Happolati,557.5421895070139,9,5.0,$$$
59.91372007130073,10.735886645853412,Einer,775.6060474373402,5,5.0,
59.91372007130073,10.735886645853412,Stangeriet,1303.332100404673,11,4.9,$
59.91372007130073,10.735886645853412,Bokbacka,1069.9655267867915,8,4.9,$$$$
59.91372007130073,10.735886645853412,Statholderens Mat & Vinkjeller,631.5937710389386,7,4.9,$$$$
59.91372007130073,10.735886645853412,The Salmon,954.0892957360727,26,4.8,
59.91372007130073,10.735886645853412,Benares Indisk Restaurant and Bar,177.88382192780796,5,4.8,$$
59.91372007130073,10.735886645853412,Statholdergaarden og Statholderens Mat og Vinkjeller,640.2172697160687,19,4.7,$$$$
59.91372007130073,10.735886645853412,Girotondo,803.2666210715572,7,4.7,
59.91372007130073,10.735886645853412,Torggata Botaniske,950.2722517804273,34,4.7,$$
59.91372007130073,10.735886645853412,Hereford Steakhouse,312.93717436051577,6,4.7,$$
59.91372007130073,10.735886645853412,Nordvegan,258.62346588667583,24,4.7,$
59.91372007130073,10.735886645853412,Champagneria Bodega,1322.459364885015,6,4.7,$$$
59.91372007130073,10.735886645853412,The Whisky Bar,510.2835379450964,22,4.6,$$
59.91372007130073,10.735886645853412,Gunnars Generasjonsbar,813.3884196821723,16,4.6,$$
59.91372007130073,10.735886645853412,Starbucks,670.9598186297558,8,4.6,$
59.91372007130073,10.735886645853412,Sushi of Life,266.36151452310526,5,4.6,
59.91372007130073,10.735886645853412,Skyggesiden Bar,469.95602082053864,5,4.6,$$
59.91372007130073,10.735886645853412,Alex Sushi Solli Plass,846.8022691356515,55,4.6,$$$$
